ID,Name,Sex,Age,Department,Salary
PS5358,Alice,Female,26,IT,9200
PS4588,David,Male,25,HR,9500
PS5151,Olivia,Female,41,IT,9600
PS5028,Tony Teo,Female,39,Finance,6700
PS5830,Alice,Female,32,Sales,7000
PS1163,Charlie,Female,25,Sales,5700
PS2749,Eva,Female,27,IT,8600
PS7562,Charlie,Female,26,Finance,6300
PS3859,Tony Teo,Female,29,Sales,4200
PS2968,Sophia,Male,33,Marketing,9800
PS7040,Eva,Male,27,Sales,4200
PS5348,Charlie,Male,28,HR,9700
PS2296,Charlie,Male,36,Finance,9900
PS2779,Olivia,Male,25,Sales,9300
PS7415,Mia,Male,30,Finance,8700
PS3377,Mia,Male,45,HR,4200
PS3715,Tony Teo,Female,25,Finance,7900
PS3972,Sophia,Male,35,IT,9200
PS2737,David,Male,42,Finance,8200
PS3893,Noah,Female,30,HR,6100
PS7893,Sophia,Male,25,Finance,4600
PS2776,Sophia,Male,45,Marketing,7600
PS7506,Sophia,Female,38,Finance,7200
PS4745,Sophia,Male,45,HR,5200
PS5864,Bob,Male,40,Marketing,6900
PS5419,Noah,Male,34,Marketing,6400
PS4969,Noah,Female,33,Finance,5600
PS2349,Bob,Female,44,Finance,6100
PS1424,Bob,Male,41,HR,5500
PS4646,Eva,Male,34,IT,9400
PS3070,Bob,Female,38,HR,6200
PS7728,Noah,Female,26,Marketing,8500
PS3693,Charlie,Female,30,Finance,9700
PS4564,Bob,Female,39,HR,8700
PS1106,Charlie,Male,25,Marketing,8400
PS1212,Noah,Female,39,Marketing,6900
PS7009,Alice,Male,37,HR,9400
PS2576,Sophia,Male,34,Marketing,10000
PS4210,Eva,Male,25,IT,8200
PS4793,David,Male,33,HR,6500
PS1855,William,Female,25,HR,8200
PS6932,Alice,Male,27,Marketing,5400
PS7353,David,Male,44,HR,8300
PS6093,Tony Teo,Female,40,Marketing,6300
PS5682,Alice,Female,38,HR,7000
PS4652,Olivia,Male,44,IT,8100
PS7466,Bob,Female,36,Finance,9100
PS5720,Sophia,Male,27,IT,5700
PS5670,David,Male,26,Sales,8400
PS5713,Mia,Male,29,Sales,7900
PS6260,Alice,Male,33,HR,4100
PS4398,Olivia,Female,38,IT,6000
PS3569,Bob,Female,33,HR,4700
PS3690,Noah,Male,25,Finance,8300
PS4786,Olivia,Female,25,Sales,7300
PS3538,William,Female,28,Finance,9900
PS5440,Alice,Male,42,Sales,6000
PS3776,Tony Teo,Male,35,HR,4800
PS7825,Olivia,Male,42,Finance,4100
PS7022,Charlie,Male,35,Sales,9300
PS5065,Eva,Male,43,Sales,5000
PS3356,Mia,Female,31,Finance,4400
PS7663,Sophia,Female,28,Sales,6200
PS3229,Charlie,Female,44,Sales,5600
PS2466,William,Male,32,IT,5500
PS6340,Alice,Male,45,Sales,7900
PS5460,Noah,Male,44,Sales,7000
PS4647,Sophia,Male,31,HR,4900
PS1374,Tony Teo,Male,39,Marketing,4200
PS5081,Noah,Male,34,Sales,9000
PS2053,Sophia,Female,39,Marketing,7700
PS5267,Olivia,Female,27,HR,4900
PS3417,Mia,Male,43,Marketing,8000
PS3960,Noah,Male,35,Finance,5800
PS3179,Noah,Female,30,HR,8700
PS3871,Noah,Male,30,IT,7700
PS1787,Mia,Male,32,HR,7800
PS2923,David,Male,39,HR,9500
PS3618,Charlie,Female,27,Finance,4900
PS2951,William,Female,29,Finance,10000
PS7720,Sophia,Female,26,Sales,5900
PS1802,Sophia,Male,27,Sales,4300
PS3547,Noah,Female,38,Marketing,5000
PS7166,Alice,Female,36,Sales,4400
PS7230,Sophia,Female,25,Sales,8600
PS4364,Alice,Female,31,IT,7000
PS6963,William,Male,39,Finance,5800
PS3686,Olivia,Female,29,IT,4200
PS3595,Olivia,Female,38,Sales,9300
PS6629,Noah,Male,41,IT,4300
PS6839,Eva,Female,30,Sales,8300
PS1236,Mia,Male,30,Finance,9600
PS2045,Noah,Male,33,Finance,4900
PS3709,Mia,Male,28,Marketing,9300
PS3932,Eva,Male,27,Finance,9800
PS4724,Noah,Male,42,Finance,8900
PS1709,Charlie,Male,25,Finance,6800
PS7426,Olivia,Female,35,HR,6300
PS7259,Bob,Male,32,Marketing,6400
PS7123,Noah,Female,44,Finance,6300
