name,age,gender,score
David,22,Male,77
David,24,Female,80
David,29,nan,82
David,19,Female,99
nan,24,nan,89
Emma,19,Female,88
nan,18,Male,88
Bob,28,Female,79
Bob,22,nan,71
Charlie,28,nan,78
Emma,21,nan,85
Charlie,29,Male,98
Alice,22,Female,97
Bob,19,Male,90
nan,28,Male,60
Charlie,18,Female,95
Charlie,29,nan,96
Alice,20,Female,70
Charlie,21,Male,91
nan,21,Male,99
Alice,22,Male,83
Bob,23,nan,89
Emma,28,Female,85
Charlie,20,nan,70
nan,29,nan,61
Alice,29,Female,81
David,20,nan,95
Charlie,21,Female,62
Emma,29,Male,81
Emma,19,nan,91
Bob,18,Male,82
Bob,28,Female,76
Bob,24,Female,98
Alice,26,Male,90
Charlie,26,nan,66
Emma,28,nan,97
nan,20,nan,94
Bob,26,Female,91
David,25,Male,70
Bob,20,Female,96
nan,19,nan,98
Emma,29,Female,60
Bob,25,nan,67
Alice,18,nan,92
nan,23,Female,81
Bob,23,Female,91
David,28,Female,88
Bob,19,Male,69
nan,24,nan,62
Bob,28,Female,92
nan,18,Male,87
David,28,Female,89
nan,20,Female,63
Emma,24,nan,98
Charlie,25,Female,84
Charlie,25,Male,90
Charlie,20,Male,98
Emma,25,nan,96
Emma,18,Female,95
Emma,22,Female,80
nan,23,Male,83
Alice,28,Female,93
David,27,Male,88
Bob,28,Female,74
nan,26,Male,86
nan,20,Female,86
nan,25,Female,61
David,28,Female,64
David,26,Male,89
David,27,Female,76
nan,29,Female,69
Charlie,27,Male,66
Emma,28,Male,60
nan,27,Female,68
Bob,28,Male,70
David,21,Female,96
nan,26,Female,88
Charlie,26,nan,83
Emma,19,Female,69
nan,20,nan,67
David,18,Male,73
Charlie,26,Female,87
David,21,Male,90
nan,26,Male,68
Emma,20,Female,83
nan,29,nan,61
Charlie,22,Female,61
David,23,Female,77
Alice,25,Female,75
Emma,22,nan,69
Emma,25,nan,92
nan,27,nan,81
Charlie,19,Female,75
nan,19,nan,64
Charlie,19,nan,75
Emma,22,nan,79
Alice,26,Female,60
Alice,27,nan,72
Charlie,28,Male,66
Emma,22,nan,85
David,28,Male,90
Emma,25,Male,78
nan,22,Female,94
Bob,23,nan,76
nan,19,Female,96
Bob,23,Male,96
David,29,nan,80
Bob,19,Male,88
David,27,nan,75
Bob,25,Male,80
David,23,nan,78
Alice,20,Female,89
Bob,23,Male,60
Charlie,24,Male,90
Emma,18,nan,68
Charlie,24,nan,71
nan,25,Female,62
David,29,Male,64
David,27,nan,87
Emma,27,Female,91
Emma,26,nan,73
nan,27,nan,61
Emma,18,Female,82
nan,23,nan,73
Emma,24,Female,76
Alice,19,Female,85
nan,22,Female,96
Emma,22,nan,92
Bob,22,Female,76
Charlie,22,Male,65
Emma,20,nan,63
David,25,Male,71
Charlie,29,nan,64
Emma,20,Male,65
Bob,21,Female,98
Bob,28,nan,61
nan,21,Female,87
David,21,Male,81
Emma,23,Male,82
nan,26,Female,69
Charlie,29,nan,88
Charlie,26,Female,96
David,25,nan,76
nan,26,Male,82
Alice,21,Male,72
Alice,28,Female,85
Emma,24,Female,62
Bob,28,nan,72
Emma,25,Female,72
nan,28,nan,67
Emma,29,Female,77
Emma,23,nan,76
Emma,25,Female,84
Alice,23,Female,72
Charlie,27,Female,91
Charlie,19,nan,76
Bob,27,Female,73
Charlie,19,Male,67
Alice,28,nan,65
Emma,20,Male,95
Alice,24,Female,97
Bob,23,Female,77
nan,19,nan,72
Alice,23,Female,96
Emma,22,Female,87
Charlie,29,Female,62
Bob,27,Female,99
Emma,24,Female,99
Emma,26,Female,93
Alice,18,nan,94
Alice,28,nan,99
Alice,21,Female,77
Alice,18,Male,87
Charlie,20,Female,91
Bob,29,nan,73
Charlie,24,Female,90
Bob,29,nan,91
Charlie,18,Male,70
David,27,nan,89
Charlie,28,Male,68
nan,20,Female,92
Emma,18,nan,98
nan,22,Male,96
nan,19,Male,68
Emma,25,Male,64
David,24,Male,63
Charlie,21,Female,92
Bob,20,Female,65
Charlie,21,nan,85
nan,22,Female,96
David,21,Male,80
Alice,22,nan,90
David,24,nan,63
Alice,27,Female,84
Bob,22,Female,74
Emma,26,nan,83
Alice,22,nan,74
nan,29,Female,61
Alice,25,nan,61
Emma,23,Female,87
Charlie,24,Female,97
Bob,28,Male,81
Emma,24,Male,66
Alice,26,Female,73
Charlie,20,Female,63
Alice,25,Male,78
Charlie,25,Female,64
nan,26,nan,80
David,20,Female,71
nan,28,nan,75
Emma,26,Female,67
nan,21,Male,98
Alice,22,Female,89
Charlie,27,Male,93
nan,24,Male,90
nan,19,Female,82
Charlie,20,Female,86
David,25,Female,77
Emma,18,nan,74
David,22,nan,64
Alice,25,nan,89
Charlie,27,Male,72
David,26,nan,79
Emma,25,Male,70
Charlie,21,Female,97
Emma,21,Female,61
Emma,22,Male,62
Bob,19,nan,85
nan,27,nan,65
Charlie,24,nan,76
Charlie,18,Female,87
Bob,24,Male,92
Bob,29,nan,87
David,27,Male,62
Charlie,23,Female,70
Charlie,21,nan,70
David,28,Male,63
nan,20,Male,78
Charlie,24,nan,79
Charlie,25,Female,80
Bob,29,Male,67
nan,27,Female,71
David,22,nan,90
Alice,25,Female,65
Charlie,28,Male,79
Alice,23,nan,82
Emma,23,nan,87
nan,18,Male,95
Charlie,24,Female,78
Bob,25,Male,86
Emma,18,nan,99
Bob,24,Male,82
Bob,28,nan,90
Alice,21,Female,70
David,22,Male,87
Emma,23,nan,99
Bob,18,Male,82
nan,26,nan,62
David,25,nan,73
Bob,23,Male,64
Emma,21,Male,99
Alice,27,Male,77
Bob,22,nan,78
Charlie,25,Female,77
Alice,21,Male,68
Emma,20,Female,97
Charlie,22,nan,89
Bob,27,nan,82
Charlie,18,Female,75
Emma,27,Male,66
Bob,23,nan,78
Bob,25,Female,90
Charlie,27,Male,75
David,23,Female,91
Bob,21,Male,61
Bob,21,Female,82
Emma,18,Female,66
Alice,23,Male,98
Alice,23,Male,70
David,20,Female,71
Charlie,29,Male,95
Alice,28,Female,70
Emma,24,Male,82
David,18,Female,89
Bob,21,Female,98
nan,24,nan,84
Bob,23,Male,69
Charlie,19,Male,87
Charlie,19,nan,79
Alice,27,nan,63
Charlie,20,Female,85
nan,21,nan,76
nan,18,Male,82
Charlie,20,Male,99
Emma,29,Male,66
Alice,19,nan,98
David,19,nan,91
David,20,nan,63
Charlie,24,nan,67
nan,24,Female,85
Bob,18,nan,92
Emma,26,Female,72
nan,22,Female,66
Emma,22,Male,93
Alice,23,Male,93
David,29,nan,91
Bob,18,Male,67
Alice,25,Female,88
Charlie,22,nan,73
David,21,Male,93
Alice,26,Female,86
nan,19,Male,89
Bob,23,Female,63
Alice,28,nan,85
David,22,Male,85
nan,29,nan,60
David,19,nan,65
Bob,26,nan,96
Charlie,24,Female,79
nan,26,Female,86
Alice,20,Female,67
David,25,nan,73
David,29,Female,82
Charlie,26,Female,86
Emma,23,Male,75
nan,24,nan,61
Alice,23,Female,84
Charlie,26,Male,81
Emma,20,Male,99
Emma,28,Male,99
David,26,Male,93
Charlie,24,Male,94
nan,19,nan,61
Emma,18,nan,75
Alice,21,nan,82
David,25,Female,84
nan,24,Male,64
David,18,nan,97
Alice,29,nan,91
Emma,27,Female,73
Bob,18,Female,81
Bob,19,Male,89
David,19,nan,95
Emma,24,Female,66
Bob,24,nan,89
David,24,Female,90
David,21,nan,86
Alice,23,Female,65
Charlie,23,Female,80
Emma,26,nan,83
Alice,24,Female,64
David,18,Male,99
David,18,nan,66
Charlie,23,Male,96
nan,21,Female,80
David,18,Male,78
Alice,18,Male,63
Charlie,20,Female,68
Charlie,20,nan,75
David,24,Female,68
nan,28,Male,82
Charlie,25,Female,83
nan,23,Female,72
Emma,20,nan,93
nan,23,Male,93
Bob,21,Male,96
nan,28,nan,92
Bob,18,Male,60
Bob,25,Male,74
Alice,22,Male,89
nan,18,nan,73
nan,18,nan,93
Emma,18,Male,96
Emma,21,nan,84
nan,22,Male,79
nan,26,nan,85
Alice,25,Male,83
Alice,28,nan,92
Alice,20,Male,87
nan,23,nan,91
Emma,22,Male,83
Charlie,28,Female,82
David,27,Female,79
David,24,nan,64
Emma,18,Female,85
nan,27,Male,89
Charlie,20,nan,76
David,28,Female,99
David,19,nan,76
Charlie,24,nan,88
Charlie,23,Male,87
David,18,Female,76
Alice,20,Male,93
Charlie,27,nan,75
nan,18,nan,99
Bob,23,Male,93
Bob,19,Male,76
Alice,25,nan,84
Emma,19,nan,92
Emma,23,Female,65
David,25,nan,94
David,22,Male,60
nan,22,Male,61
Alice,29,Male,90
Emma,21,Female,62
nan,29,nan,76
David,26,nan,81
Alice,22,Male,89
Bob,22,nan,76
Bob,29,Male,96
Emma,21,nan,92
nan,25,Female,76
Emma,22,Male,63
Bob,24,nan,99
Emma,18,Male,98
Alice,25,Male,75
David,23,nan,69
Emma,29,Female,76
Bob,18,Male,79
Alice,29,Male,96
Bob,20,nan,74
David,21,nan,99
Bob,22,Male,85
David,23,nan,70
Alice,27,Male,64
Charlie,29,nan,74
Alice,22,nan,60
Charlie,18,Male,61
nan,19,Female,64
Bob,22,Male,73
Alice,26,nan,92
Emma,28,nan,62
Emma,22,nan,63
nan,22,nan,96
Bob,25,Female,61
Alice,29,Female,76
Emma,29,Male,82
nan,25,nan,89
nan,27,Male,63
nan,25,Male,84
nan,22,Female,65
Alice,19,Female,65
Emma,23,Female,63
David,21,nan,86
Bob,26,Female,61
Charlie,24,nan,63
Bob,18,nan,99
Charlie,18,Female,73
David,24,nan,89
Alice,28,nan,72
David,28,Female,62
Alice,25,nan,93
Bob,26,Female,63
nan,21,Female,67
Charlie,22,Female,74
nan,23,Male,75
Charlie,26,Male,98
Bob,23,Male,86
Charlie,18,nan,74
David,24,Female,68
nan,23,nan,79
Emma,23,nan,92
Emma,29,Female,65
Emma,22,nan,84
nan,19,nan,63
David,26,Male,67
Emma,25,Female,79
nan,25,Male,89
nan,19,Female,86
David,21,Female,76
Alice,23,Male,70
Alice,23,Female,61
Alice,22,Female,77
David,26,nan,98
David,23,Female,68
Alice,22,Male,99
Alice,29,Male,65
David,25,Male,96
David,20,Female,80
Charlie,24,Female,71
Bob,27,Male,88
nan,21,Male,79
Alice,23,Male,88
David,25,nan,69
nan,21,Female,66
nan,27,nan,62
Alice,28,Male,69
Charlie,26,Female,88
Alice,25,Female,88
Charlie,19,nan,82
Charlie,20,nan,71
Charlie,25,nan,97
Charlie,20,Female,83
David,29,nan,92
nan,19,Male,80
Charlie,18,nan,71
Alice,24,Female,99
Emma,29,Male,67
nan,29,Female,74
Bob,22,nan,97
Emma,22,Female,85
Alice,21,Female,79
nan,27,Female,94
Alice,24,Male,89
Alice,27,nan,92
nan,24,nan,87
David,28,nan,61
Alice,21,Female,98
David,20,Male,73
Charlie,22,Female,85
Charlie,20,Female,61
David,18,Male,67
David,26,Female,97
Emma,28,Female,64
Charlie,19,Female,68
Charlie,26,Female,95
Emma,25,nan,76
nan,25,Male,67
Alice,20,nan,78
nan,24,Male,91
Alice,22,Male,77
Charlie,18,nan,82
Emma,23,nan,66
David,28,nan,85
Charlie,26,Female,89
nan,24,Female,66
Alice,24,Female,79
Bob,27,Male,68
Bob,28,Male,74
Alice,19,Female,63
nan,21,Female,63
Bob,23,Female,66
Alice,19,nan,85
